date,country,continent,flights,new_cases,stringency_index
2020-01-05,Israel,AS,185,0.0,0.0
2020-01-05,India,AS,1803,0.0,0.0
2020-01-05,Iran,AS,15,0.0,0.0
2020-01-05,Iceland,EU,60,0.0,0.0
2020-01-05,Italy,EU,1425,0.0,0.0
2020-01-05,Japan,AS,937,0.0,0.0
2020-01-05,South Korea,AS,639,0.0,0.0
2020-01-05,Kazakhstan,AS,72,0.0,0.0
2020-01-05,Lebanon,AS,67,0.0,0.0
2020-01-05,Sri Lanka,AS,76,0.0,0.0
2020-01-05,Lithuania,EU,6,0.0,0.0
2020-01-05,Luxembourg,EU,79,0.0,0.0
2020-01-05,Latvia,EU,98,0.0,0.0
2020-01-05,Malta,EU,51,0.0,0.0
2020-01-05,Malaysia,AS,762,0.0,0.0
2020-01-05,Netherlands,EU,656,0.0,0.0
2020-01-05,Norway,EU,391,0.0,0.0
2020-01-05,Philippines,AS,386,0.0,0.0
2020-01-05,Pakistan,AS,7,0.0,0.0
2020-01-05,Poland,EU,432,0.0,0.0
2020-01-05,Portugal,EU,458,0.0,0.0
2020-01-05,Qatar,AS,343,0.0,0.0
2020-01-05,Romania,EU,48,0.0,0.0
2020-01-05,Serbia,EU,65,0.0,0.0
2020-01-05,Russia,EU,1163,0.0,0.0
2020-01-05,Saudi Arabia,AS,264,0.0,0.0
2020-01-05,Sweden,EU,386,0.0,0.0
2020-01-05,Singapore,AS,488,0.0,13.89
2020-01-05,Slovenia,EU,15,0.0,0.0
2020-01-05,Slovakia,EU,22,0.0,0.0
2020-01-05,Thailand,AS,696,0.0,0.0
2020-01-05,Turkey,AS,441,0.0,0.0
2020-01-05,Taiwan,AS,517,,8.33
2020-01-05,Ukraine,EU,123,0.0,0.0
2020-01-05,Vietnam,AS,21,0.0,0.0
2020-01-06,United Arab Emirates,AS,703,0.0,0.0
2020-01-06,Armenia,AS,34,0.0,
2020-01-06,Austria,EU,396,0.0,0.0
2020-01-06,Bangladesh,AS,6,0.0,0.0
2020-01-06,Belgium,EU,363,0.0,0.0
2020-01-06,Bulgaria,EU,5,0.0,0.0
2020-01-06,Bahrain,AS,55,0.0,0.0
2020-01-06,Brunei,AS,26,0.0,11.11
2020-01-06,Belarus,EU,56,0.0,0.0
2020-01-06,Switzerland,EU,667,0.0,0.0
2020-01-06,China,AS,454,3.0,2.78
2020-01-06,Czechia,EU,169,0.0,0.0
2020-01-06,Germany,EU,2306,0.0,0.0
2020-01-06,Denmark,EU,397,0.0,0.0
2020-01-06,Estonia,EU,38,0.0,0.0
2020-01-06,Spain,EU,1344,0.0,0.0
2020-01-06,Finland,EU,255,0.0,0.0
2020-01-06,France,EU,1465,0.0,0.0
2020-01-06,United Kingdom,EU,2412,0.0,0.0
2020-01-06,Greece,EU,183,0.0,0.0
2020-01-06,Hong Kong,AS,485,,13.89
2020-01-06,Croatia,EU,40,0.0,0.0
2020-01-06,Hungary,EU,143,0.0,0.0
2020-01-06,Indonesia,AS,69,0.0,5.56
2020-01-06,Ireland,EU,357,0.0,0.0
2020-01-06,Israel,AS,166,0.0,0.0
2020-01-06,India,AS,1718,0.0,0.0
2020-01-06,Iran,AS,6,0.0,0.0
2020-01-06,Iceland,EU,57,0.0,0.0
2020-01-06,Italy,EU,1448,0.0,0.0
2020-01-06,Japan,AS,937,0.0,0.0
2020-01-06,South Korea,AS,135,0.0,0.0
2020-01-06,Kazakhstan,AS,63,0.0,0.0
2020-01-06,Lebanon,AS,59,0.0,0.0
2020-01-06,Sri Lanka,AS,82,0.0,0.0
2020-01-06,Lithuania,EU,10,0.0,0.0
2020-01-06,Luxembourg,EU,94,0.0,0.0
2020-01-06,Latvia,EU,111,0.0,0.0
2020-01-06,Malta,EU,47,0.0,0.0
2020-01-06,Malaysia,AS,737,0.0,0.0
2020-01-06,Netherlands,EU,653,0.0,0.0
2020-01-06,Norway,EU,450,0.0,0.0
2020-01-06,Philippines,AS,380,0.0,0.0
2020-01-06,Pakistan,AS,6,0.0,0.0
2020-01-06,Poland,EU,405,0.0,0.0
2020-01-06,Portugal,EU,421,0.0,0.0
2020-01-06,Qatar,AS,349,0.0,0.0
2020-01-06,Romania,EU,30,0.0,0.0
2020-01-06,Serbia,EU,64,0.0,0.0
